,title,country,year_x,lgtb,tconst
3811,Captain Marvel, US ,2019.0,1,tt13750198
3813,Captain Marvel, US ,2019.0,1,tt21383530
3816,Captain Marvel, US ,2019.0,1,tt4154664
3819,Captain Marvel, US ,2019.0,1,tt9783760
3820,Captain Marvel, US ,2019.0,1,tt9852820
3821,Captain Marvel, US ,2019.0,1,tt9892670
3822,Captain Marvel, US ,2019.0,1,tt9899300
3823,Captain Marvel, US ,2019.0,1,tt9903502
3824,Captain Marvel, US ,2019.0,1,tt9904836
3825,Captain Marvel, US ,2019.0,1,tt9905490
3826,Captain Marvel, US ,2019.0,1,tt9909000
3828,Caramel, Lebanon ,2007.0,1,tt0825236
3831,Caramel, Lebanon ,2007.0,1,tt1372329
3842,The Carmilla Movie, Canada ,2017.0,1,tt7427856
3843,The Carmilla Movie, Canada ,2017.0,1,tt7617558
3844,Carandiru, Brazil/Argentina ,2003.0,1,tt0293007
3845,Caravaggio, UK ,1986.0,1,tt0090798
3858,Carmen from Kawachi, Japan ,1966.0,1,tt0060585
3880,Carol, US ,2015.0,1,tt21064790
3882,Carol, US ,2015.0,1,tt22325836
3885,Carol, US ,2015.0,1,tt2402927
3897,Carrington, UK ,1995.0,1,tt0112637
3902,Casualty, US ,1999.0,1,tt0393131
3918,Cat on a Hot Tin Roof, US ,1958.0,1,tt0051459
3925,The Celluloid Closet, France/UK/Germany/US ,1995.0,1,tt0112651
3998,Chance, UK ,2015.0,1,tt4070722
4002,Chance, UK ,2015.0,1,tt4865608
4003,Chance, UK ,2015.0,1,tt4893904
4004,Chance, UK ,2015.0,1,tt4985728
4017,Chance, UK ,2015.0,1,tt8351040
4022,Chance, UK ,2015.0,1,tt8651554
4025,Chandigarh Kare Aashiqui, India ,2021.0,1,tt12861850
4035,Chanthupottu, India ,2005.0,1,tt0400186
4036,Chasing Amy, US ,1997.0,1,tt0118842
4039,Chateau de Roses, Japan ,2005.0,1,tt1084670
4040,Cheerleader Queens, Thailand ,2003.0,1,tt0398851
4041,The Chef's Letter, UK ,2008.0,1,tt1249164
4044,Chez Nous, Netherlands ,2013.0,1,tt2206082
4048,Chicken, Ireland ,2001.0,1,tt0272034
4139,Chicken Tikka Masala, UK ,2005.0,1,tt0449000
4159,The Children's Hour, US ,1961.0,1,tt0054743
4167,Chinese Characters, US ,1986.0,1,tt0416640
4182,Chloe, US/Canada/France ,2009.0,1,tt1352824
4219,A Chorus Line, US ,1985.0,1,tt0088915
4226,Chouchou, France ,2003.0,1,tt0328955
4229,Chris & Don: A Love Story, US ,2007.0,1,tt1138002
4230,The Christmas House, US ,2020.0,1,tt12950902
4232,Christopher and Gordy, Norway ,2005.0,1,tt0465707
4233,Christopher and His Kind, UK ,2011.0,1,tt1651062
4234,Chuck & Buck, US ,2000.0,1,tt0200530
4235,Chutney Popcorn, US ,1999.0,1,tt0126240
4236,Ciao, US ,2008.0,1,tt0870089
4249,Ciao Bella, Sweden ,2007.0,1,tt0986323
4254,Circuit, US ,2001.0,1,tt0218107
4277,Circumstance, Iran ,2011.0,1,tt1684628
4279,City Without Baseball, Hong Kong ,2008.0,1,tt1198059
4284,Claire, US ,2001.0,1,tt0368652
4354,Claire of the Moon, US ,1992.0,1,tt0103977
4356,Clapham Junction, UK ,2007.0,1,tt1043903
4357,Clay Farmers, US ,1988.0,1,tt0094883
4360,Closet Monster, Canada ,2015.0,1,tt3638396
4367,Closets, UK ,2015.0,1,tt4643840
4368,Closets, UK ,2015.0,1,tt4767890
4369,Clothes & Blow, UK ,2018.0,1,tt8150000
4371,Cloud Atlas, Germany ,2012.0,1,tt1371111
4374,Cloud Atlas, Germany ,2012.0,1,tt4151558
4375,Cloud Atlas, Germany ,2012.0,1,tt4302138
4376,Cloud Atlas, Germany ,2012.0,1,tt7195464
4379,Cloudburst, Canada ,2011.0,1,tt1466054
4382,Clueless, US ,1995.0,1,tt0112697
4415,The Cockettes, US ,2002.0,1,tt0303321
4418,Coby, France ,2017.0,1,tt6090190
4420,Coffee at Laundromat, Canada ,2016.0,1,tt4354924
4422,Coffee Date, US ,2006.0,1,tt0473174
4433,Cognitio, Denmark ,2018.0,1,tt7925676
4434,C.O.G., US ,2013.0,1,tt1650393
4435,Colma: The Musical, US ,2006.0,1,tt0784977
4436,The Colonel's Outing, New Zealand ,2011.0,1,tt1821638
4437,Colonial Gods, US/UK ,2009.0,1,tt1655586
4438,Color of Night, US ,1994.0,1,tt0109456
4441,The Color Purple, US ,1985.0,1,tt0088939
4450,The Colour of His Hair, UK ,2017.0,1,tt6504812
4452,Coming Out, East Germany ,1989.0,1,tt0097095
4457,Coming Out, East Germany ,1989.0,1,tt0354467
4654,Coming Out, Hungary ,2013.0,1,tt2610108
4660,Coming Out, Hungary ,2013.0,1,tt3036906
4661,Coming Out, Hungary ,2013.0,1,tt3062622
4662,Coming Out, Hungary ,2013.0,1,tt3241198
4664,Coming Out, Hungary ,2013.0,1,tt3404218
4666,Coming Out, Hungary ,2013.0,1,tt3527282
4682,Coming Out, Hungary ,2013.0,1,tt4304338
4699,Coming Out, Hungary ,2013.0,1,tt6199042
4727,Coming Out Under Fire, US ,1994.0,1,tt0109462
4731,Common Ground, US ,2000.0,1,tt0212889
4796,Common Threads: Stories from the Quilt, US ,1989.0,1,tt0097099
4828,Communication, New Zealand ,2010.0,1,tt1590766
4829,Communication, New Zealand ,2010.0,1,tt1602432
4834,Communication, New Zealand ,2010.0,1,tt1729535
4836,Communication, New Zealand ,2010.0,1,tt1805791
4837,Communication, New Zealand ,2010.0,1,tt1820955
4845,Communication, New Zealand ,2010.0,1,tt2146689
4879,Concussion, US ,2013.0,1,tt2296697
4882,Concussion, US ,2013.0,1,tt3330074
4893,Condo, Philippines ,2008.0,1,tt1167622
4897,Connie and Carla, US ,2004.0,1,tt0345074
4898,The Conrad Boys, US ,2006.0,1,tt0468463
5033,Consequences, Slovenia ,2018.0,1,tt7117676
5038,Consequences, Slovenia ,2018.0,1,tt7861408
5042,Consequences, Slovenia ,2018.0,1,tt8125306
5046,Consequences, Slovenia ,2018.0,1,tt8560156
5047,Consequences, Slovenia ,2018.0,1,tt8667356
5048,Consequences, Slovenia ,2018.0,1,tt8667506
5049,Consequences, Slovenia ,2018.0,1,tt8793866
5050,Consequences, Slovenia ,2018.0,1,tt8795582
5051,Consequences, Slovenia ,2018.0,1,tt8824668
5053,Consequences, Slovenia ,2018.0,1,tt9309796
5055,Consequences, Slovenia ,2018.0,1,tt9812732
5058,Consenting Adult, US ,1985.0,1,tt0088948
5063,Contact, Australia ,2002.0,1,tt0335016
5064,Contact, Australia ,2002.0,1,tt0343549
5065,Contact, Australia ,2002.0,1,tt0365077
5066,Contact, Australia ,2002.0,1,tt0379744
5074,Contact, Australia ,2002.0,1,tt0560732
5112,Contact, Australia ,2002.0,1,tt1449182
5193,Contadora Is for Lovers, US/Panama ,2006.0,1,tt0904112
5196,Continental, US ,2013.0,1,tt1924244
5200,Copycat, US ,1995.0,1,tt0112722
5250,The Cost of Love, UK ,2011.0,1,tt1587427
5257,Costa Brava, Spain ,1995.0,1,tt0109489
5262,Couch, US ,1964.0,1,tt0215674
5293,Cowboy, Germany ,2008.0,1,tt1339071
5302,Cowboy, Germany ,2008.0,1,tt1941492
5321,Cowboy Forever, France ,2006.0,1,tt1073162
5323,Cowboys & Angels, Ireland/Germany/UK ,2003.0,1,tt0377701
5328,Cracks, Ireland/UK ,2009.0,1,tt1183665
5331,Cracks, Ireland/UK ,2009.0,1,tt14696678
5333,Cracks, Ireland/UK ,2009.0,1,tt1612273
5350,Cradle Will Rock, US ,1999.0,1,tt0150216
5356,Crash, Canada/UK ,1996.0,1,tt0115964
5371,Crash, Canada/UK ,1996.0,1,tt0711208
5401,Crash, Canada/UK ,1996.0,1,tt14037350
5457,C.R.A.Z.Y., Canada ,2005.0,1,tt0401085
5458,Cruel Intentions, US ,1999.0,1,tt0139134
5483,Cruise Patrol, Netherlands ,2013.0,1,tt3319632
5484,Cruising, US ,1980.0,1,tt0080569
5506,Crutch, US ,2004.0,1,tt0422029
5515,Crush, New Zealand ,1992.0,1,tt0104033
5524,Crush, New Zealand ,1992.0,1,tt0542237
5554,Crush, New Zealand ,1992.0,1,tt1265822
5649,The Crying Game, UK ,1992.0,1,tt0104036
5650,The Crying Game, UK ,1992.0,1,tt0544892
5651,The Crying Game, UK ,1992.0,1,tt0644607
5671,Cthulhu, US ,2007.0,1,tt0478126
5676,Cubby, US ,2019.0,1,tt5754850
5689,The Curiosity of Chance, US/Belgium ,2006.0,1,tt0481273
5690,Curious Thing, US ,2010.0,1,tt1490622
5691,Curse of the Queerwolf, US ,1988.0,1,tt0094930
5693,Cursed, US/Germany ,2005.0,1,tt0257516
5695,Cursed, US/Germany ,2005.0,1,tt0600719
5696,Cursed, US/Germany ,2005.0,1,tt0606015
5698,Cursed, US/Germany ,2005.0,1,tt0758222
5769,The D Train, US ,2015.0,1,tt2690138
5770,The D Train, US ,2015.0,1,tt4633082
5772,D'Agostino, US/Greece ,2012.0,1,tt1559027
5773,Dahmer, US ,2002.0,1,tt0285728
5777,Dallas Buyers Club, US ,2013.0,1,tt0790636
5778,Dallas Buyers Club, US ,2013.0,1,tt3767560
5779,Dallas Buyers Club, US ,2013.0,1,tt7219988
5780,Dangerous Living: Coming Out in the Developing World, US ,2003.0,1,tt0379752
5782,Dániel, UK ,2015.0,1,tt4288764
5783,Daniel endormi, France ,1988.0,1,tt0381120
5787,The Danish Girl, US ,2016.0,1,tt5376820
5788,The Danish Girl, US ,2016.0,1,tt5863564
5790,Daphne, UK ,2007.0,1,tt0963169
5793,Daphne, UK ,2007.0,1,tt15976414
5803,Dare, US ,2005.0,1,tt0450256
5839,Dare, US ,2009.0,1,tt1241316
5842,Dare, US ,2009.0,1,tt2244588
5865,The Dark Place, US ,2014.0,1,tt2196059
5867,Darmiyaan: In Between, India ,1997.0,1,tt0286576
5869,Dating Amber, Ireland ,2020.0,1,tt7886936
5870,Dasepo Naughty Girls, South Korea ,2006.0,1,tt0473028
5873,Date and Switch, US ,2014.0,1,tt1878942
5875,A Date for Mad Mary, Ireland ,2016.0,1,tt4197642
5876,Daughters of the Sun, Iran ,2000.0,1,tt0259265
5893,David, Mexico ,2005.0,1,tt0451697
5984,David, Mexico ,2005.0,1,tt6424564
5997,David Searching, US ,1997.0,1,tt0132914
6086,Dawn, UK ,2016.0,1,tt4841252
6088,Dawn, UK ,2016.0,1,tt5354406
6090,Dawn, UK ,2016.0,1,tt5778804
6091,Dawn, UK ,2016.0,1,tt5912180
6092,Dawn, UK ,2016.0,1,tt6207356
6097,Dawn, UK ,2016.0,1,tt6916758
6130,Daybreak, Philippines ,2008.0,1,tt1196140
6134,Daybreak, Philippines ,2008.0,1,tt1419474
6166,The Days of Being Dumb, Hong Kong ,1992.0,1,tt0105864
6167,Deb and Sisi, Canada ,2008.0,1,tt1286141
6168,D.E.B.S., US ,2003.0,1,tt0337953
6171,D.E.B.S., US ,2004.0,1,tt0367631
6172,Dead Poets Society, US ,1989.0,1,tt0097165
6182,Death at a Funeral, US ,2010.0,1,tt1321509
6184,Death at a Funeral, US ,2010.0,1,tt2230463
6185,Death at a Funeral, US ,2010.0,1,tt3022102
6186,Deathtrap, US ,1982.0,1,tt0083806
6208,Deep End, Canada ,2011.0,1,tt1978422
6210,Deep End, Canada ,2011.0,1,tt3017346
6217,The Deep End, US ,2001.0,1,tt0250323
6219,The Deep End, US ,2001.0,1,tt0512188
6281,Deflated, US ,2012.0,1,tt2409720
6283,Deflated, US ,2012.0,1,tt3339830
6285,Defying Gravity, US ,1997.0,1,tt0156460
6306,Deliverance, US ,1972.0,1,tt0068473
6374,De-Lovely, US ,2004.0,1,tt0352277
6376,Delphinium: A Childhood Portrait of Derek Jarman, US/UK ,2009.0,1,tt1475149
6377,The Delta, US ,1996.0,1,tt0116070
6378,Denied, US ,2004.0,1,tt0431721
6390,Desert Hearts, US ,1985.0,1,tt0089015
6392,Desire Street, Spain / China / US ,2011.0,1,tt1617083
6393,Desperate Living, US ,1977.0,1,tt0075936
6397,Desperate Remedies, New Zealand ,1993.0,1,tt0525230
6401,Dessous, Germany ,2000.0,1,tt5762826
6404,The Detective, US ,1968.0,1,tt0062883
6447,Diana, UK ,2009.0,1,tt11449114
6453,Diana, UK ,2009.0,1,tt1396948
6493,Diferente, Spain ,1962.0,1,tt0054811
6500,Different for Girls, UK ,1996.0,1,tt0116102
6505,A Different Story, US ,1978.0,1,tt0077435
6508,Different Strokes, US ,1997.0,1,tt0525233
6528,Dim Sum Funeral, Canada/US ,2008.0,1,tt1216477
6529,Dino at the Beach, US ,2022.0,1,tt13129958
6530,Dirty Girl, US ,2010.0,1,tt1107319
6556,Dirty Laundry, US ,2006.0,1,tt0795371
6585,Dirty Laundry, US ,2006.0,1,tt1423356
6609,Dirty Laundry, US ,2006.0,1,tt1988599
6700,Disobedience, UK / Ireland / US ,2017.0,1,tt6108178
6703,Dog Day Afternoon, US ,1975.0,1,tt0072890
6746,Dog Tags, US ,2008.0,1,tt1206235
6747,Dog Tags, US ,2008.0,1,tt1212408
6758,Do I Love You?, UK ,2002.0,1,tt0400367
